name,name_NYUcoor,brain_data,coordinates,T1_X,T1_Y,T1_Z,MNI_X,MNI_Y,MNI_Z,type,reg1,reg1_percent,reg2,reg2_percent,reg3,reg3_percent,reg4,reg4_percent
EEGGR_43REF,G43,0,1,-53.892273,-15.600886,23.096634,-64,-1.333333,36.666667,G,postcentral,100,,0,,0,,0
EEGGR_44REF,G44,0,1,-56.60014,-13.447147,14.179138,-68,-2,26,G,postcentral,100,,0,,0,,0
EEGGR_45REF,G45,0,1,-57.334949,-11.962731,4.494401,-70,-3.5,14,G,postcentral,100,,0,,0,,0
EEGGR_46REF,G46,0,1,-57.810013,-10.527972,-4.812819,-69.5,-6.5,2.5,G,mSTG,100,,0,,0,,0
EEGGR_47REF,G47,0,1,-57.807724,-8.459343,-14.239549,-70,-7,-9,G,mSTG,100,,0,,0,,0
EEGGR_49REF,G49,0,1,-42.865364,-9.824239,38.548225,-53,6,50,G,precentral,100,,0,,0,,0
EEGGR_50REF,G50,0,1,-47.191528,-8.516665,31.008884,-59,7,44,G,precentral,100,,0,,0,,0
EEGGR_51REF,G51,0,1,-52.875652,-6.265079,23.600149,-64,8,33,G,precentral,100,,0,,0,,0
EEGGR_52REF,G52,0,1,-55.190201,-4.248907,14.802849,-67.142857,6.857143,21.142857,G,precentral,100,,0,,0,,0
EEGGR_53REF,G53,0,1,-55.194397,-2.527132,5.789861,-70,5,9,G,precentral,100,,0,,0,,0
EEGGR_54REF,G54,0,1,-54.680302,-0.790404,-3.895606,-67.5,5,-1.5,G,mSTG,100,,0,,0,,0
EEGGR_55REF,G55,0,1,-55.111317,0.787584,-12.574658,-68,2.666667,-11.333333,G,mSTG,100,,0,,0,,0
EEGGR_57REF,G57,0,1,-41.090088,-1.266366,38.84951,-52,16,46.5,G,caudalmiddlefrontal,100,,0,,0,,0
EEGGR_58REF,G58,0,1,-45.910847,0.651339,31.827185,-56,18,39,G,parsopercularis,100,,0,,0,,0
EEGGR_59REF,G59,0,1,-50.96154,2.928236,24.616787,-61.5,17.5,31,G,parsopercularis,100,,0,,0,,0
EEGGR_60REF,G60,0,1,-51.97588,4.765489,15.810045,-64,17,19,G,parsopercularis,100,,0,,0,,0
EEGGR_61REF,G61,0,1,-51.111164,6.378323,6.083405,-64.666667,14.666667,7,G,parsopercularis,100,,0,,0,,0
EEGGR_62REF,G62,0,1,-50.924362,7.872536,-2.643289,-63.142857,13.142857,-4.285714,G,mSTG,100,,0,,0,,0
EEGGR_63REF,G63,0,1,-50.985817,9.433129,-10.976613,-64,12.666667,-13.333333,G,rSTG,100,,0,,0,,0
EEGSO_01REF,SO01,0,1,11.246761,-76.591576,-13.735562,-0.857143,-86.857143,12.857143,S,lingual,82.13,,0,,0,,0
EEGSO_02REF,SO02,0,1,10.031915,-87.589401,-13.137261,-4,-98,17,S,cuneus,100,,0,,0,,0
EEGSO_03REF,SO03,0,1,-0.923197,-91.168816,-12.706484,-14,-100,21,S,lateraloccipital,100,,0,,0,,0
EEGSO_04REF,SO04,0,1,-10.796222,-89.439789,-13.695293,-25,-98,19,S,lateraloccipital,100,,0,,0,,0
EEGSO_05REF,SO05,0,1,-21.291441,-85.742081,-14.020484,-36.666667,-92,15.333333,S,lateraloccipital,100,,0,,0,,0
EEGSO_06REF,SO06,0,1,-30.018858,-81.483452,-16.110388,-44,-86.666667,12.666667,S,inferiorparietal,100,,0,,0,,0
EEGPTO_01REF,PTO01,0,1,-6.086886,-79.371109,-38.97834,-19,-100,-15,S,lateraloccipital,100,,0,,0,,0
EEGPTO_02REF,PTO02,0,1,-16.979092,-76.980568,-38.595135,-31.333333,-94,-15.333333,S,lateraloccipital,100,,0,,0,,0
EEGPTO_03REF,PTO03,0,1,-26.057468,-74.205421,-35.651939,-42,-88,-13,S,lateraloccipital,100,,0,,0,,0
EEGPTO_04REF,PTO04,0,1,-34.37891,-71.145348,-29.460812,-50,-81,-6,S,lateraloccipital,100,,0,,0,,0
EEGATO_01REF,ATO01,0,1,-5.407316,-42.685013,-18.604204,-12.857143,-47.714286,-4,S,lingual,100,,0,,0,,0
EEGATO_02REF,ATO02,0,1,-14.358283,-40.791943,-26.144522,-22.571429,-48,-15.428571,S,fusiform,100,,0,,0,,0
EEGATO_03REF,ATO03,0,1,-23.08008,-39.117085,-31.279493,-33,-49,-22,S,fusiform,100,,0,,0,,0
EEGATO_04REF,ATO04,0,1,-32.747017,-38.678886,-35.134476,-45.333333,-47,-25.666667,S,fusiform,100,,0,,0,,0
EEGBPT_01REF,BTP01,0,1,-22.105787,19.643599,-37.126919,-27,13.333333,-47.333333,S,temporalpole,100,,0,,0,,0
EEGBPT_02REF,BTP02,0,1,-28.467329,12.755321,-42.903564,-35.333333,3.333333,-50,S,fusiform,100,,0,,0,,0
EEGBPT_03REF,BTP03,0,1,-34.682983,4.966995,-43.34296,-43,-5,-48,S,inferiortemporal,100,,0,,0,,0
EEGBPT_04REF,BTP04,0,1,-41.239319,-1.674625,-40.360046,-52,-9,-42,S,inferiortemporal,100,,0,,0,,0
EEGAT_01REF,AT01,0,1,-14.33542,8.926672,-33.840637,-20.8,3.2,-38.4,S,entorhinal,71.15,fusiform,28.85,,0,,0
EEGAT_02REF,AT02,0,1,-15.104415,19.194855,-31.087402,-20.5,14.5,-38.5,S,temporalpole,100,,0,,0,,0
EEGAT_03REF,AT03,0,1,-22.086521,25.554029,-29.847218,-27.142857,21.714286,-39.142857,S,temporalpole,100,,0,,0,,0
EEGAT_04REF,AT04,0,1,-31.651154,26.631403,-28.824152,-37,25,-38,S,temporalpole,100,,0,,0,,0
EEGAT_05REF,AT05,0,1,-38.874664,22.299314,-26.126139,-48.5,23,-35.5,S,rSTG,100,,0,,0,,0
EEGAT_06REF,AT06,0,1,-46.353355,16.314602,-24.100216,-57.333333,18,-29.333333,S,rMTG,100,,0,,0,,0
EEGDAMT_01REF,DAMT01,0,1,-17,-13,-26,-26,-16,-21,D,Left-Cerebral-White-Matter,92.59,ctx-lh-parahippocampal,7.41,,0,,0
EEGDAMT_02REF,DAMT02,0,1,-21.285714,-15.285714,-25.571429,-30,-18,-21,D,Left-Cerebral-White-Matter,51.85,Left-Hippocampus,48.15,,0,,0
EEGDAMT_03REF,DAMT03,0,1,-25.571429,-17.571429,-25.142857,-34,-21,-21,D,Unknown,7.41,Left-Cerebral-White-Matter,14.81,ctx-lh-fusiform,7.41,ctx-lh-parahippocampal,70.37
EEGDAMT_04REF,DAMT04,0,1,-29.857143,-19.857143,-24.714286,-37.5,-24,-19.5,D,Left-Cerebral-White-Matter,66.67,ctx-lh-fusiform,33.33,,0,,0
EEGDAMT_05REF,DAMT05,0,1,-34.142857,-22.142857,-24.285714,-42.857143,-26.857143,-19.142857,D,Unknown,66.67,ctx-lh-fusiform,33.33,,0,,0
EEGDAMT_06REF,DAMT06,0,1,-38.428571,-24.428571,-23.857143,-48,-28,-15,D,Left-Cerebral-White-Matter,88.89,ctx-lh-inferiortemporal,11.11,,0,,0
EEGDAMT_07REF,DAMT07,0,1,-42.714286,-26.714286,-23.428571,-53,-29.333333,-14.666667,D,Left-Cerebral-White-Matter,81.48,ctx-lh-inferiortemporal,18.52,,0,,0
EEGDAMT_08REF,DAMT08,0,1,-47,-29,-23,-58,-30.666667,-13.555556,D,Left-Cerebral-White-Matter,70.37,ctx-lh-inferiortemporal,29.63,,0,,0
EEGDASL_01REF,DASL01,0,1,-31,-42,-30,-40.857143,-49.428571,-16.571429,D,Left-Cerebral-White-Matter,48.15,ctx-lh-fusiform,51.85,,0,,0
EEGDASL_02REF,DASL02,0,1,-35,-43.333333,-28,-46.8,-51,-13.8,D,Left-Cerebral-White-Matter,96.3,ctx-lh-fusiform,3.7,,0,,0
EEGDASL_03REF,DASL03,0,1,-39,-44.666667,-26,-52.888889,-50.666667,-13.777778,D,Unknown,37.04,ctx-lh-fusiform,25.93,ctx-lh-inferiortemporal,37.04,,0
EEGDASL_04REF,DASL04,0,1,-43,-46,-24,-57.142857,-48.857143,-10.285714,D,Left-Cerebral-White-Matter,59.26,ctx-lh-inferiortemporal,40.74,,0,,0
EEGDPMT_01REF,DPMT01,0,1,-16,-33,-23,-22,-37,-13,D,Unknown,44.44,ctx-lh-parahippocampal,55.56,,0,,0
EEGDPMT_02REF,DPMT02,0,1,-20.571429,-34.571429,-22.857143,-27.2,-38.4,-12.8,D,Left-Cerebral-White-Matter,18.52,ctx-lh-fusiform,74.07,ctx-lh-parahippocampal,7.41,,0
EEGDPMT_03REF,DPMT03,0,1,-25.142857,-36.142857,-22.714286,-33,-41,-11,D,Left-Cerebral-White-Matter,62.96,ctx-lh-fusiform,37.04,,0,,0
EEGDPMT_04REF,DPMT04,0,1,-29.714286,-37.714286,-22.571429,-38.857143,-43.142857,-11.142857,D,Left-Cerebral-White-Matter,100,,0,,0,,0
EEGDPMT_05REF,DPMT05,0,1,-34.285714,-39.285714,-22.428571,-44.8,-45.6,-12,D,Unknown,7.41,Left-Cerebral-White-Matter,11.11,ctx-lh-fusiform,62.96,ctx-lh-inferiortemporal,18.52
EEGDPMT_06REF,DPMT06,0,1,-38.857143,-40.857143,-22.285714,-50.8,-46,-12.4,D,Unknown,11.11,Left-Cerebral-White-Matter,7.41,ctx-lh-inferiortemporal,81.48,,0
EEGDPMT_07REF,DPMT07,0,1,-43.428571,-42.428571,-22.142857,-57.142857,-45.142857,-10.285714,D,Left-Cerebral-White-Matter,92.59,ctx-lh-inferiortemporal,7.41,,0,,0
EEGDPMT_08REF,DPMT08,0,1,-48,-44,-22,-62.8,-46,-7.6,D,Left-Cerebral-White-Matter,59.26,ctx-lh-inferiortemporal,40.74,,0,,0
EEGDPSL_01REF,DPSL01,0,1,-33,-51,-26,-45.6,-57.6,-4.4,D,Left-Cerebral-White-Matter,100,,0,,0,,0
EEGDPSL_02REF,DPSL02,0,1,-37.666667,-51.333333,-24.666667,-52.666667,-57.333333,-6,D,Left-Cerebral-White-Matter,37.04,ctx-lh-fusiform,59.26,ctx-lh-inferiortemporal,3.7,,0
EEGDPSL_03REF,DPSL03,0,1,-42.333333,-51.666667,-23.333333,-57.333333,-55.666667,-6.666667,D,Unknown,37.04,ctx-lh-fusiform,14.81,ctx-lh-inferiortemporal,48.15,,0
EEGDPSL_04REF,DPSL04,0,1,-47,-52,-22,-61.6,-54.8,-5.2,D,Unknown,48.15,ctx-lh-inferiortemporal,51.85,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
,,0,0,0,0,0,0,0,0,,,0,,0,,0,,0
